id,formula_name,formula_in_latex,unicode_dec,unicodexml_description,formula_type
4844,\boxslash,\boxslash,0,,single symbol
4845,\boxbackslash,\boxbackslash,0,,single symbol
4846,\boxasterisk,\boxasterisk,0,,single symbol
4847,\boxcirc,\boxcirc,0,,single symbol
4848,\manconcentriccircles,\manconcentriccircles,0,,single symbol
4849,\AAcht,\AAcht,9835,,single symbol
4850,\Halb,\Halb,119134,,single symbol
4851,\ding{179},\ding{179},9319,,single symbol
4852,\obackslash,\obackslash,0,,single symbol
4853,\ding{173},\ding{173},9313,,single symbol
4854,\otriangle,\otriangle,0,,single symbol
4855,5x+2,5x+2,0,,NULL
4856,\int x^{2},\int x^{2},0,,NULL
4862,\bull,\bull,0,,NULL
4866,\LBTSbrak,\LBTSbrak,12308,,single symbol
4868,\ruble,\ruble,8381,,single symbol
4869,$\frac{\sqrt{2}}{-4}$,$\frac{\sqrt{2}}{-4}$,0,,NULL
4871,\varclubsuit,\varclubsuit,9831,,single symbol
4872,\naturalto,\naturalto,0,,single symbol
4873,\Hermaphrodite,\Hermaphrodite,9893,,single symbol
4874,\eqqcolon,\eqqcolon,8789,,single symbol
4875,\coloneqq,\coloneqq,8788,,single symbol
4876,\sum\limits_{n=1}^{5}n,\sum\limits_{n=1}^{5}n,0,,NULL
4877,\dasheddownarrow,\dasheddownarrow,8675,,single symbol
4878,\dashedrightarrow,\dashedrightarrow,8674,,single symbol
4879,,,0,,NULL
4881,\RADot,\RADot,10653,,single symbol
4883,\nsuccsim,\nsuccsim,0,,single symbol
4884,\RBTSbrak,\RBTSbrak,12309,,single symbol
4886,\ddot{},\ddot{},0,,nesting symbol
4887,\Laplace,\Laplace,8887,,single symbol
4888,\frowny,\frowny,0,,NULL
4889,\laplace,\laplace,8886,,single symbol
4890,\InvertedPentagram,\InvertedPentagram,9959,,
4891,\Searrow,\Searrow,8664,,single symbol
4892,\reflectedAmpersand,\reflectedAmpersand,0,,single symbol
4893,LEFTWARDS WAVE ARROW,\leftwavearrow,8604,,single symbol
4894,\updownarrows,\updownarrows,8645,,single symbol
4895,\twoheaduparrow,\twoheaduparrow,8607,,single symbol
4896,\twoheaddownarrow,\twoheaddownarrow,8609,,single symbol
4897,\rdsh,\rdsh,8628,,single symbol
4898,\Dsh,\Dsh,8626,,single symbol
4899,\sqrt[4]{},\sqrt[4]{},8732,,nesting symbol
4901,Concatenation Operation,\concat,0,,single symbol
4902,\sq,\sq,0,,single symbol
4903,\mathrm{T},\mathrm{T},84,,single symbol
4904,\mathrm{G},\mathrm{G},71,,single symbol
4905,\mathrm{C},\mathrm{C},67,,
4906,\mathrm{b},\mathrm{b},98,,single symbol
4907,\mathrm{l},\mathrm{l},108,,single symbol
4908,\mathrm{B},\mathrm{B},66,,single symbol
4909,\mathrm{k},\mathrm{k},107,,single symbol
4910,\mathrm{h},\mathrm{h},104,,single symbol
4911,\mathrm{I},\mathrm{I},73,,single symbol
4912,\mathrm{x},\mathrm{x},120,,single symbol
4913,\mathrm{A},\mathrm{A},65,,single symbol
4914,\mathrm{e},\mathrm{e},101,,single symbol
4915,\mathrm{m},\mathrm{m},109,,single symbol
4916,\mathrm{d},\mathrm{d},100,,single symbol
4917,\to,\to,8594,,single symbol
4918,\mathbb{F},\mathbb{F},120125,,single symbol
4919,LATIN CAPITAL LETTER Z WITH CARON,Ž,381,,single symbol
4923,\int f(x) \mathrm{d}x,\int f(x) \mathrm{d}x,0,,NULL
4924,N_{0},N_{0},0,,NULL
4925,\int (1+1),\int (1+1),0,,NULL
4926,x-2,x-2,0,,NULL
4927,\righttoleftarrow,\righttoleftarrow,0,,NULL
4928,f(x)=x^{2},f(x)=x^{2},0,,NULL
4931,::MULTISYMBOL::,::MULTISYMBOL::,0,,NULL

